Sprite,Name,Type 1,Type 2,Ability 1,Ability 2,Ability 3,HP,Attack,Defense,Special Attack,Special Defense,Speed
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,Bulbasaur,Grass,Poison,Overgrow,Chlorophyll,None,45,49,49,65,65,45
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,Ivysaur,Grass,Poison,Overgrow,Chlorophyll,None,60,62,63,80,80,60
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,Venusaur,Grass,Poison,Overgrow,Chlorophyll,None,80,82,83,100,100,80
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,Charmander,Fire,None,Blaze,Solar-power,None,39,52,43,60,50,65
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,Charmeleon,Fire,None,Blaze,Solar-power,None,58,64,58,80,65,80
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,Charizard,Fire,Flying,Blaze,Solar-power,None,78,84,78,109,85,100
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,Squirtle,Water,None,Torrent,Rain-dish,None,44,48,65,50,64,43
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,Wartortle,Water,None,Torrent,Rain-dish,None,59,63,80,65,80,58
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,Blastoise,Water,None,Torrent,Rain-dish,None,79,83,100,85,105,78
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,Caterpie,Bug,None,Shield-dust,Run-away,None,45,30,35,20,20,45
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,Metapod,Bug,None,Shed-skin,None,None,50,20,55,25,25,30
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,Butterfree,Bug,Flying,Compound-eyes,Tinted-lens,None,60,45,50,90,80,70
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,Weedle,Bug,Poison,Shield-dust,Run-away,None,40,35,30,20,20,50
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,Kakuna,Bug,Poison,Shed-skin,None,None,45,25,50,25,25,35
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,Beedrill,Bug,Poison,Swarm,Sniper,None,65,90,40,45,80,75
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,Pidgey,Normal,Flying,Keen-eye,Tangled-feet,Big-pecks,40,45,40,35,35,56
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,Pidgeotto,Normal,Flying,Keen-eye,Tangled-feet,Big-pecks,63,60,55,50,50,71
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,Pidgeot,Normal,Flying,Keen-eye,Tangled-feet,Big-pecks,83,80,75,70,70,101
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,Rattata,Normal,None,Run-away,Guts,Hustle,30,56,35,25,35,72
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,Raticate,Normal,None,Run-away,Guts,Hustle,55,81,60,50,70,97
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,Spearow,Normal,Flying,Keen-eye,Sniper,None,40,60,30,31,31,70
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,Fearow,Normal,Flying,Keen-eye,Sniper,None,65,90,65,61,61,100
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,Ekans,Poison,None,Intimidate,Shed-skin,Unnerve,35,60,44,40,54,55
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,Arbok,Poison,None,Intimidate,Shed-skin,Unnerve,60,95,69,65,79,80
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,Pikachu,Electric,None,Static,Lightning-rod,None,35,55,40,50,50,90
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,Raichu,Electric,None,Static,Lightning-rod,None,60,90,55,90,80,110
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,Sandshrew,Ground,None,Sand-veil,Sand-rush,None,50,75,85,20,30,40
